"Notes","Residence State","Residence State Code","Year","Year Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"New Hampshire","33","2018","2018",421,1356458,31.0,33.7
,"New Hampshire","33","2019","2019",373,1359711,27.4,29.8
,"New Hampshire","33","2020","2020",347,1366275,25.4,27.4
,"New Hampshire","33","2021","2021",393,1388992,28.3,29.3
,"New Hampshire","33","2022","2022",432,1395231,31.0,32.2
,"New Hampshire","33","2023","2023",405,1402054,28.9,30.7
,"New Hampshire","33","2024 (provisional)","2024",262,1402054,18.7,19.6
,"New Hampshire","33","2025 (provisional and partial)","2025",51,1402054,3.6,3.3
"Total","New Hampshire","33",,,2684,11072829,24.2,25.7
,"New Jersey","34","2018","2018",2618,8908520,29.4,30.0
,"New Jersey","34","2019","2019",2544,8882190,28.6,28.9
,"New Jersey","34","2020","2020",2581,8882371,29.1,29.3
,"New Jersey","34","2021","2021",2734,9267130,29.5,29.2
,"New Jersey","34","2022","2022",2686,9261699,29.0,28.5
,"New Jersey","34","2023","2023",2393,9290841,25.8,25.4
,"New Jersey","34","2024 (provisional)","2024",1659,9290841,17.9,17.3
,"New Jersey","34","2025 (provisional and partial)","2025",284,9290841,3.1,2.9
"Total","New Jersey","34",,,17499,73074433,23.9,23.9
,"New Mexico","35","2018","2018",359,2095428,17.1,17.7
,"New Mexico","35","2019","2019",410,2096829,19.6,20.8
,"New Mexico","35","2020","2020",569,2106319,27.0,28.5
,"New Mexico","35","2021","2021",802,2115877,37.9,39.7
,"New Mexico","35","2022","2022",776,2113344,36.7,38.5
,"New Mexico","35","2023","2023",751,2114371,35.5,37.6
,"New Mexico","35","2024 (provisional)","2024",522,2114371,24.7,25.8
,"New Mexico","35","2025 (provisional and partial)","2025",167,2114371,7.9,8.2
"Total","New Mexico","35",,,4356,16870910,25.8,27.1
,"New York","36","2018","2018",3065,19542209,15.7,15.5
,"New York","36","2019","2019",3015,19453561,15.5,15.3
,"New York","36","2020","2020",4315,19336776,22.3,22.2
,"New York","36","2021","2021",5032,19835913,25.4,24.9
,"New York","36","2022","2022",5449,19677151,27.7,27.1
,"New York","36","2023","2023",5381,19571216,27.5,26.6
,"New York","36","2024 (provisional)","2024",3448,19571216,17.6,16.9
,"New York","36","2025 (provisional and partial)","2025",529,19571216,2.7,2.6
"Total","New York","36",,,30234,156559258,19.3,18.9
,"North Carolina","37","2018","2018",1806,10383620,17.4,18.1
,"North Carolina","37","2019","2019",1838,10488084,17.5,18.3
,"North Carolina","37","2020","2020",2668,10600823,25.2,26.5
,"North Carolina","37","2021","2021",3375,10551162,32.0,33.6
,"North Carolina","37","2022","2022",3694,10698973,34.5,36.2
,"North Carolina","37","2023","2023",2947,10835491,27.2,28.7
